"trial_sd","block_sd","gxe_sd","residual_sd","power"
6,2,1,3,0.445
8,2,1,3,0.52
10,2,1,3,0.48
12,2,1,3,0.45
6,3,1,3,0.475
8,3,1,3,0.455
10,3,1,3,0.395
12,3,1,3,0.485
6,2,2,3,0.34
8,2,2,3,0.315
10,2,2,3,0.27
12,2,2,3,0.33
6,3,2,3,0.285
8,3,2,3,0.35
10,3,2,3,0.29
12,3,2,3,0.285
6,2,3,3,0.145
8,2,3,3,0.18
10,2,3,3,0.215
12,2,3,3,0.14
6,3,3,3,0.15
8,3,3,3,0.2
10,3,3,3,0.18
12,3,3,3,0.135
6,2,1,4,0.24
8,2,1,4,0.245
10,2,1,4,0.26
12,2,1,4,0.31
6,3,1,4,0.275
8,3,1,4,0.24
10,3,1,4,0.26
12,3,1,4,0.16
6,2,2,4,0.205
8,2,2,4,0.255
10,2,2,4,0.165
12,2,2,4,0.155
6,3,2,4,0.19
8,3,2,4,0.165
10,3,2,4,0.145
12,3,2,4,0.205
6,2,3,4,0.115
8,2,3,4,0.095
10,2,3,4,0.105
12,2,3,4,0.15
6,3,3,4,0.14
8,3,3,4,0.13
10,3,3,4,0.15
12,3,3,4,0.14
6,2,1,5,0.115
8,2,1,5,0.18
10,2,1,5,0.145
12,2,1,5,0.13
6,3,1,5,0.165
8,3,1,5,0.17
10,3,1,5,0.14
12,3,1,5,0.175
6,2,2,5,0.155
8,2,2,5,0.11
10,2,2,5,0.105
12,2,2,5,0.115
6,3,2,5,0.1
8,3,2,5,0.115
10,3,2,5,0.125
12,3,2,5,0.035
6,2,3,5,0.115
8,2,3,5,0.09
10,2,3,5,0.07
12,2,3,5,0.15
6,3,3,5,0.13
8,3,3,5,0.08
10,3,3,5,0.09
12,3,3,5,0.105
6,2,1,6,0.085
8,2,1,6,0.08
10,2,1,6,0.11
12,2,1,6,0.075
6,3,1,6,0.075
8,3,1,6,0.095
10,3,1,6,0.115
12,3,1,6,0.09
6,2,2,6,0.125
8,2,2,6,0.1
10,2,2,6,0.075
12,2,2,6,0.065
6,3,2,6,0.075
8,3,2,6,0.075
10,3,2,6,0.08
12,3,2,6,0.025
6,2,3,6,0.075
8,2,3,6,0.095
10,2,3,6,0.06
12,2,3,6,0.08
6,3,3,6,0.09
8,3,3,6,0.07
10,3,3,6,0.085
12,3,3,6,0.06
